channel,icbp_customer,fisc_yr_pd,bu,Sku,velocity,ea_cs,ea_gr,si_kg
MODERNO,CI,2017001,CEREAL,10012.0,B-Regular,24.0,299.99583333333334,6119.960000000001
MODERNO,CI,2017001,CEREAL,10015.0,A,21.0,490.00952380952384,5103.984
MODERNO,CI,2017001,CEREAL,10018.0,A,55.5,839.9892857142859,0.0
MODERNO,CI,2017001,CEREAL,10214.0,B-Regular,28.0,309.99642857142857,7022.143
MODERNO,CI,2017001,CEREAL,10218.0,A,24.0,730.0,164970.049
MODERNO,CI,2017001,CEREAL,10233.0,A,21.0,490.00952380952384,5947.788000000001
MODERNO,CI,2017001,CEREAL,10250.0,B-Regular,24.0,499.99166666666673,9983.917
MODERNO,CI,2017001,CEREAL,10304.0,A,24.0,700.0083333333333,7224.141
MODERNO,CI,2017001,CEREAL,10408.0,A,24.0,559.9958333333334,18103.786
MODERNO,CI,2017001,CEREAL,10509.0,A,24.0,469.9958333333333,32193.26
MODERNO,CI,2017001,CEREAL,10713.0,B-Regular,12.0,314.98333333333335,6762.110999999999
MODERNO,CI,2017001,CEREAL,10837.0,C-Regular,52.0,159.99615384615387,449.27999999999986
MODERNO,CI,2017001,CEREAL,10838.0,C-Regular,36.0,349.9972222222222,1738.7960000000005
MODERNO,CI,2017001,CEREAL,20002.0,B-Regular,21.0,490.00952380952384,6328.536
MODERNO,CI,2017001,CEREAL,20003.0,C-Regular,28.0,285.00357142857143,1332.681
MODERNO,CI,2017001,CEREAL,20015.0,C-Regular,24.0,330.0083333333333,1718.6979999999999
MODERNO,CI,2017001,CEREAL,20016.0,B-Regular,24.0,620.0041666666667,8422.221000000001
MODERNO,CI,2017001,CEREAL,20043.0,B-Regular,20.0,775.01,4293.588
MODERNO,CI,2017001,CEREAL,20045.0,A,10.0,560.01,93874.627
MODERNO,CI,2017001,CEREAL,20073.0,A,21.0,299.9952380952381,11088.012
MODERNO,CI,2017001,CEREAL,20076.0,A,21.0,440.0047619047619,17186.817000000006
MODERNO,CI,2017001,CEREAL,20089.0,B-Regular,24.0,370.00000000000006,6748.855
MODERNO,CI,2017001,CEREAL,20135.0,C-Regular,24.0,299.99583333333334,2239.181
MODERNO,CI,2017001,CEREAL,20138.0,C-Regular,24.0,370.00000000000006,3294.508
MODERNO,CI,2017001,CEREAL,20141.0,C-Regular,21.0,530.0571428571428,3261.4620000000004
MODERNO,CI,2017001,CEREAL,20156.0,A,14.0,744.992857142857,11034.948999999999
MODERNO,CI,2017001,CEREAL,20177.0,C-Regular,24.0,379.9958333333333,0.0
MODERNO,CI,2017001,OTHERS,10820.0,A,27.0,253.00370370370374,970.0269999999999
MODERNO,CI,2017001,OTHERS,10821.0,A,27.0,253.00370370370374,485.01299999999986
MODERNO,CI,2017001,SALTY,80000.0,A,14.0,136.9857142857143,483.29000000000013
MODERNO,CI,2017001,SALTY,80007.0,A,14.0,136.9857142857143,180.27200000000002
MODERNO,CI,2017001,SALTY,80014.0,A,14.0,151.98571428571432,218.634
MODERNO,CI,2017001,SALTY,80024.0,A,12.0,37.00833333333333,192.282
MODERNO,CI,2017001,SALTY,80025.0,B-Regular,12.0,39.99166666666667,147.336
MODERNO,CI,2017001,SALTY,80026.0,A,12.0,39.99166666666667,155.973
MODERNO,CI,2017001,W SNACKS,60000.0,A,240.0,19.0,1030.5639999999999
MODERNO,CI,2017001,W SNACKS,60015.0,A,240.0,18.000000000000004,967.69
MODERNO,CI,2017001,W SNACKS,60024.0,B-Regular,12.0,221.99166666666667,404.92400000000004
MODERNO,CI,2017001,W SNACKS,60035.0,B-Regular,72.0,36.99861111111111,450.215
MODERNO,CI,2017001,W SNACKS,60039.0,B-Regular,240.0,20.999583333333334,574.553
MODERNO,CI,2017001,W SNACKS,60059.0,A,120.0,21.99916666666667,657.346
MODERNO,CI,2017001,W SNACKS,65000.0,A,120.0,39.99916666666667,744.0
MODERNO,CI,2017001,W SNACKS,65002.0,A,120.0,37.00166666666667,1380.9170000000001
MODERNO,CI,2017001,W SNACKS,65004.0,A,120.0,37.00166666666667,341.9009999999999
MODERNO,CI,2017001,W SNACKS,65005.0,A,120.0,39.99916666666667,576.001
MODERNO,CI,2017001,W SNACKS,65006.0,A,60.0,32.99833333333333,1382.004
MODERNO,CI,2017001,W SNACKS,65007.0,A,60.0,32.99833333333333,1328.542
MODERNO,CI,2017001,W SNACKS,65013.0,A,240.0,24.000833333333336,587.539
